company,10kdate,cash.on.hand,cash.foreign.subsidiary,pct.offshore,unrepatriated.foreign.income,income.before.taxes,cash.taxes.padi,effective.tax.rate,est.us.tax.benefit,num.tax.havens
Apple Inc.,10/31/2012,121251000000,82600000000,68.12,40400000000,55763000000,7682000000,13.78,13800000000,3
Google Inc,1/26/2012,44626000000,21200000000,47.51,24800000000,12326000000,1471000000,11.93,-1,2
Hewlett-Packard,12/14/2011,8043000000,-1,0.00,29100000000,8982000000,610000000,6.79,-1,23
Oracle Corporation,6/26/2012,30676000000,26800000000,87.36,20900000000,12962000000,2731000000,21.07,6300000000,5
Intel Corporation,2/23/2012,14837000000,-1,0.00,14200000000,17781000000,3338000000,18.77,-1,10
"Cisco Systems, Inc.",9/12/2012,48716000000,42500000000,87.24,41300000000,10159000000,2014000000,19.82,-1,46
eBay Inc,1/31/2012,7500000000,6600000000,88.00,10000000000,3910046000,372528000,9.53,-1,36
"VMware, Inc.",2/24/2012,4512300000,2072000000,45.92,1560900000,723936,-268954,-37.15,-1,7
Gilead Sciences,2/23/2012,9963972000,-1,0.00,5840000000,3651004000,621025000,17.01,2005000000,10
Intuitive Surgical,2/6/2012,2171800000,327500000,15.08,220500000,709700000,152000000,21.42,-1,4
Salesforce.com,3/9/2012,1447174000,-1,0.00,-1,-33317000,20981000,-62.97,-1,8
Yahoo,2/29/2012,2529917000,1200000000,47.43,3200000000,827516000,96000000,11.60,-1,20
Intuit,9/13/2012,744000000,-1,0.00,43000000,1151000000,312000000,27.11,12000000,2
Adobe Systems,1/26/2012,2900000000,-1,0.00,2400000000,1035230000,158373000,15.30,700000000,10
"NetApp, Inc.",6/19/2012,5395500000,2700000000,50.04,1844000000,712400000,48200000,6.77,-1,4
Applied Materials,12/5/2012,2992000000,800000000,26.74,1600000000,316000000,164000000,51.90,-1,24
Agilent Technologies,12/16/2011,3527000000,3400000000,96.40,4213000000,1032000000,22000000,2.13,-1,13
Symantec,5/21/2012,3162000000,2400000000,75.90,2400000000,1470000000,234000000,15.92,730000000,4
Altera,2/17/2012,3371933000,-1,0.00,2200000000,848992000,9856000,1.16,-1,3
Juniper Networks,2/24/2012,2910400000,-1,0.00,1462600000,571716000,-2080000,-0.36,447300000,3
SanDisk,2/23/2012,2850000000,649000000,22.77,362000000,1476754000,-374460000,-25.36,-1,11
LinkedIn,3/2/2012,577500000,53300000,9.23,53300000,22942000,2261000,9.86,-1,4
Xilinx,5/25/2012,3130000000,-1,0.00,1670000000,597051000,-2447000,-0.41,544300000,8
Zynga,2/28/2012,1917606000,-1,0.00,1200000,-406142000,-15682000,3.86,-1,5
Nvidia,3/13/2012,3129576000,1900000000,60.71,1290000000,663396000,58328000,8.79,-1,12
KLA Tencor,8/6/2012,2534444000,888000000,35.04,912700000,974094000,20018000,2.06,302700000,12
Maxim Integrated,8/17/2012,956386000,-1,0.00,58500000,532733000,39827000,7.48,8700000,10
Varian Medical Systems,11/21/2012,704600000,655000000,92.96,1051200000,595924000,134600000,22.59,281700000,6
Linear Technology,8/29/2012,1203059000,-1,0.00,612000000,535910000,91315000,17.04,-1,2
Equinix,2/24/2012,1076345000,140000000,13.01,121000000,130961000,9157000,6.99,-1,14
Trimble Navigation,2/28/2012,154621000,-1,0.00,178400000,167454000,13867000,8.28,62500000,9
Netflix,2/10/2012,797811000,-1,0.00,-1,359522000,79069000,21.99,-1,-1
Informatica,2/24/2012,316835000,-1,0.00,46400000,166628000,7119000,4.27,-1,8
Advanced Micro Devices,2/24/2012,1765000000,-1,0.00,414000000,-177000000,9000000,-5.08,141000000,5
VeriFone Systems,12/23/2012,594562000,372800000,62.70,127300000,90992000,-2897000,-3.18,-1,3
Electronic Arts,5/25/2012,1293000000,935000000,72.31,1415000000,18000000,-4000000,-22.22,-1,14
Lam Research,8/22/2012,3000000000,-1,0.00,1900000000,204418000,29113000,14.24,430500000,23
Tibco Software,1/30/2012,308148000,177900000,57.73,142500000,149935000,12883000,8.59,-1,10
LSI,2/29/2012,935500000,-1,0.00,83100000,93790000,11800000,12.58,-1,13
Synopsys,12/16/2011,1004100000,774100000,77.09,530000000,219113000,35577000,16.24,114000000,12
Atmel,2/28/2012,332510000,262800000,79.04,297200000,381190000,31986000,8.39,-1,8
Riverbed Technology,2/10/2012,593400000,-1,0.00,-1,92046000,-8331000,-9.05,-1,4
Fortinet,2/28/2012,538688000,24300000,4.51,24300000,92073000,-305000,-0.33,-1,-1
Dolby Laboratories,11/15/2012,1156900000,234400000,20.26,162200000,368991000,98497000,26.69,48300000,0
Tesla Motors,2/27/2012,280300000,-1,0.00,2200000,-253922000,282000,-0.11,-1,-1
Rovi,2/23/2012,440500000,271900000,61.73,124900000,18557000,15000000,80.83,-1,8
Novellus Systems,2/24/2012,918738000,360900000,39.28,373100000,293149000,27328000,9.32,-1,15
NetSuite,2/28/2012,141448000,-1,0.00,3900000,-30236000,1271000,-4.20,-1,2
Polycom,2/17/2012,591600000,440200000,74.41,293100000,147220000,15947000,10.83,-1,7
JDS Uniphase,8/24/2012,752700000,-1,0.00,186100000,-43600000,16200000,-37.16,8200000,13
